t,x,q
0,200,2.4185069920000006
4,200,2.4230927259999997
8,200,2.8898101580000004
12,200,2.7017370319999996
16,200,2.33968605
20,200,2.5954446740000003
24,200,2.761342222
28,200,2.5723405659999994
32,200,2.422410052
36,200,2.3047973840000004
40,200,2.1501417099999998
44,200,2.1109467940000006
48,200,2.3981098699999994
52,200,2.300631194
56,200,2.3103251
60,200,2.605286812
64,200,2.404126762
68,200,2.742214897999999
72,200,2.809426752
76,200,2.7316945440000002
80,200,2.7197593100000006
84,200,2.294118086
88,200,1.9870113900000002
92,200,1.9407756459999996
96,200,2.3266356479999994
100,200,2.310598412
104,200,2.18710311
108,200,2.241999908
112,200,2.291062752
116,200,2.1842876299999996
120,200,1.8420004260000002
124,200,1.810062078
128,200,1.782551732
132,200,2.063315420000001
136,200,1.7661176759999995
140,200,1.5330919540000003
144,200,1.4539603939999994
148,200,1.420699196000001
152,200,1.2703338579999996
156,200,1.1048194120000001
160,200,1.2370247119999997
164,200,1.3211925160000004
168,200,1.3759163760000002
172,200,1.505801902
176,200,1.419864296
180,200,1.4494848879999995
184,200,1.5686063240000003
188,200,1.5423728639999996
192,200,1.7765939800000001
196,200,1.9677830740000004
200,200,1.9281316140000002
204,200,1.9790208319999993
208,200,1.952875592
212,200,2.162108208
216,200,2.0328519320000003
220,200,1.707879904
224,200,1.7963346060000003
228,200,1.7023951499999996
232,200,1.6138352420000004
236,200,1.4268401639999997
240,200,1.4227406919999999
244,200,1.4062383000000005
248,200,1.4519702099999998
252,200,1.4655133079999996
256,200,1.3987625460000002
260,200,1.5616959959999996
264,200,1.3901134419999999
268,200,1.3890797259999998
272,200,1.7260699000000002
276,200,1.8263772659999995
280,200,1.7070922760000002
284,200,1.8520857019999994
288,200,2.0706843320000003
292,200,1.9833310239999997
296,200,1.7711704639999999
300,200,1.8901887259999994
304,200,2.2444290540000003
308,200,2.401316798
312,200,2.403113406
316,200,2.1264602559999997
320,200,2.207043506
324,200,2.212768878
328,200,2.056128296
332,200,1.9442087160000006
336,200,2.0321303019999992
340,200,2.055645094
344,200,2.201937576
348,200,1.8352757399999995
352,200,1.6744081120000005
356,200,2.1562590619999993
360,200,2.4793663400000003
364,200,2.8140444280000003
368,200,2.363818156
372,200,2.1303103480000005
376,200,2.2716730280000004
380,200,1.8968653540000002
384,200,2.0431603380000003
388,200,2.21255274
392,200,2.515423624
396,200,2.4741141660000006
400,200,2.385298608
404,200,2.164163236
408,200,2.000808146
412,200,2.3544497559999997
416,200,2.223042102
420,200,2.29556232
424,200,2.6668849439999995
428,200,2.4697680820000003
432,200,2.244765787999999
436,200,2.26368352
440,200,2.416101454
444,200,2.411414598
448,200,2.2408890179999994
452,200,2.403566986
456,200,2.365159562
460,200,2.1611816779999997
464,200,2.2572980299999994
468,200,2.3985531640000004
472,200,2.32926459
476,200,1.9492182859999998
480,200,2.122920368
484,200,2.220319146
488,200,2.114806948
492,200,2.041190784
496,200,2.03194441
500,200,2.4325339320000006
504,200,2.4215320519999994
508,200,1.8741590680000002
512,200,1.8607980580000003
516,200,2.280502028
520,200,2.32347132
524,200,1.89643037
528,200,1.806501756
532,200,2.1846833599999997
536,200,2.420708532
540,200,2.5315260439999996
544,200,2.3835050500000006
548,200,2.4088333399999997
552,200,2.2680832040000003
556,200,2.2185588579999997
560,200,2.22135998
564,200,1.9137617999999998
568,200,1.87259898
572,200,1.6480611819999995
576,200,1.632770572
580,200,1.4228983039999996
584,200,1.2231896860000004
588,200,1.2305181219999997
592,200,1.226698732
596,200,1.3563070680000004
600,200,1.5763628079999996
604,200,1.5501538960000005
608,200,1.3984786740000001
612,200,1.270465488
616,200,1.1208551819999995
620,200,0.938867368
624,200,0.943763734
628,200,1.0929316079999998
632,200,1.2603600220000006
636,200,1.5474677840000002
640,200,1.8654697039999997
644,200,1.8418356680000005
648,200,1.5183535579999994
652,200,1.3888628120000004
656,200,1.41293479
660,200,1.3799467959999994
664,200,1.5672906180000006
668,200,1.7538089160000003
672,200,1.8747106519999994
676,200,2.0301607900000005
680,200,1.9594254239999997
684,200,2.00502311
688,200,2.216064478
692,200,2.093864172
696,200,1.8760326179999998
700,200,1.7546018999999995
704,200,1.8838901380000004
708,200,2.0366633439999995
712,200,2.2483662380000005
716,200,2.2503754419999997
720,200,2.410781168000001
724,200,2.2170218339999996
728,200,2.163941168
732,200,2.405918014
736,200,2.187469586
740,200,2.2246900579999997
744,200,2.127308822
748,200,2.191495294
752,200,2.37653669
756,200,2.3144093919999995
760,200,2.2181662820000003
764,200,2.1842392260000003
768,200,2.2855951240000003
772,200,2.063467162
776,200,1.9529781739999998
780,200,1.827142084
784,200,1.8232129260000003
788,200,1.8371917719999993
792,200,1.8277458480000002
796,200,1.9485091839999995
